id,value
atención en salud.sistema respiratorio.PX en pared torácica pleura mediastino y diafragma,580
atención en salud.sistema respiratorio.PX en tráquea,427
atención en salud.sistema tegumentario,
atención en salud.sistema tegumentario.PX en la mama,401
atención en salud.sistema tegumentario.PX en piel y tejido celular subcutáneo,21103
atención en salud.sistema urinario,
atención en salud.sistema urinario.otros PX en el tracto urinario,157
atención en salud.sistema urinario.PX en riñón,328
atención en salud.sistema urinario.PX en uretra,154
atención en salud.sistema urinario.PX en uréter,328
atención en salud.sistema urinario.PX en vejiga,1331
atención en salud.sistema visual,
atención en salud.sistema visual.PX e intervenciones en aparato lagrimal,140
atención en salud.sistema visual.PX en conjuntiva,436
atención en salud.sistema visual.PX en cristalino,1122
atención en salud.sistema visual.PX en córnea,118
atención en salud.sistema visual.PX en iris cuerpo ciliar esclera y cámara,614
atención en salud.sistema visual.PX en músculos extraoculares,50
atención en salud.sistema visual.PX en párpados,382
atención en salud.sistema visual.PX en retina coroides vítreo y cámara posterior,392
atención en salud.sistema visual.PX en órbita y globo ocular,121
